instances/br17.atsp;;167;2.766e-06;;41;6;0.000130781;
instances/ft53.atsp;;13954;3.871e-06;;9022;25;0.00548372;
instances/ft70.atsp;;56081;3.901e-06;;43310;34;0.0075586;
instances/ftv33.atsp;;2239;6.93e-07;;1663;11;0.000434275;
instances/ftv35.atsp;;2473;7.35e-07;;1923;8;0.0003547;
instances/ftv38.atsp;;2504;7.66e-07;;1883;13;0.000678067;
instances/ftv44.atsp;;2678;8.68e-07;;2061;9;0.000627908;
instances/ftv47.atsp;;4289;8.89e-07;;2638;21;0.00170617;
instances/ftv55.atsp;;3974;1.026e-06;;2435;20;0.00217577;
instances/ftv64.atsp;;4783;1.118e-06;;2564;23;0.00346621;
instances/ftv70.atsp;;4855;1.261e-06;;2650;37;0.00699295;
instances/ftv170.atsp;;7146;4.365e-06;;4559;40;0.0447753;
instances/kro124p.atsp;;209567;1.744e-06;;65355;85;0.0301238;
instances/p43.atsp;;6160;8.02e-07;;5678;10;0.000636034;
instances/rbg323.atsp;;6429;7.386e-06;;1736;221;0.827779;
instances/rbg358.atsp;;7083;7.582e-06;;1697;240;1.13284;
instances/rbg403.atsp;;7956;7.346e-06;;2730;239;1.3956;
instances/rbg443.atsp;;8717;7.665e-06;;3027;284;2.03312;
instances/ry48p.atsp;;54267;1.252e-06;;20966;45;0.00366994;
